VOLKRAJ	NAZVOLKRAJ
1	Hl. m. Praha
2	Středočeský
3	Jihočeský
4	Plzeňský
5	Karlovarský
6	Ústecký
7	Liberecký
8	Královéhradecký
9	Pardubický
10	Vysočina
11	Jihomoravský
12	Olomoucký
13	Zlínský
14	Moravskoslezský
